Dist 37000; N0 -97.4328; PL -136.575 -> no-fading: 8.75908e-15[-110.575; S=16.8573; P=0.728578]; fading: 1.03416e-14[-109.854; S=17.5786; P=0.752621]
Dist 38000; N0 -97.4328; PL -136.817 -> no-fading: 8.28423e-15[-110.817; S=16.6153; P=0.72051]; fading: 9.65745e-15[-110.151; S=17.2814; P=0.742713]
Dist 39000; N0 -97.4328; PL -137.053 -> no-fading: 7.84648e-15[-111.053; S=16.3795; P=0.71265]; fading: 9.39285e-15[-110.272; S=17.1607; P=0.738691]
Dist 40000; N0 -97.4328; PL -137.283 -> no-fading: 7.44208e-15[-111.283; S=16.1497; P=0.70499]; fading: 8.9001e-15[-110.506; S=16.9267; P=0.73089]
Dist 41000; N0 -97.4328; PL -137.507 -> no-fading: 7.06776e-15[-111.507; S=15.9256; P=0.697519]; fading: 8.43415e-15[-110.74; S=16.6932; P=0.723106]
Dist 42000; N0 -97.4328; PL -137.726 -> no-fading: 6.72061e-15[-111.726; S=15.7069; P=0.690228]; fading: 7.91779e-15[-111.014; S=16.4188; P=0.71396]
Dist 43000; N0 -97.4328; PL -137.939 -> no-fading: 6.3981e-15[-111.939; S=15.4933; P=0.683109]; fading: 7.57591e-15[-111.206; S=16.2271; P=0.70757]
Dist 44000; N0 -97.4328; PL -138.148 -> no-fading: 6.09795e-15[-112.148; S=15.2846; P=0.676153]; fading: 7.21089e-15[-111.42; S=16.0127; P=0.700422]
Dist 45000; N0 -97.4328; PL -138.352 -> no-fading: 5.81816e-15[-112.352; S=15.0806; P=0.669354]; fading: 6.98371e-15[-111.559; S=15.8736; P=0.695787]
Dist 46000; N0 -97.4328; PL -138.552 -> no-fading: 5.55695e-15[-112.552; S=14.8811; P=0.662704]; fading: 6.50974e-15[-111.864; S=15.5684; P=0.685613]
Dist 47000; N0 -97.4328; PL -138.747 -> no-fading: 5.3127e-15[-112.747; S=14.6859; P=0.656197]; fading: 6.30445e-15[-112.004; S=15.4292; P=0.680975]
Dist 48000; N0 -97.4328; PL -138.938 -> no-fading: 5.084e-15[-112.938; S=14.4948; P=0.649827]; fading: 6.1293e-15[-112.126; S=15.3069; P=0.676896]
Dist 49000; N0 -97.4328; PL -139.125 -> no-fading: 4.86957e-15[-113.125; S=14.3077; P=0.643589]; fading: 5.75738e-15[-112.398; S=15.035; P=0.667834]
Dist 50000; N0 -97.4328; PL -139.308 -> no-fading: 4.66823e-15[-113.308; S=14.1243; P=0.637476]; fading: 5.61217e-15[-112.509; S=14.9241; P=0.664136]
Dist 51000; N0 -97.4328; PL -139.488 -> no-fading: 4.47897e-15[-113.488; S=13.9445; P=0.631485]; fading: 5.29407e-15[-112.762; S=14.6707; P=0.655689]
Dist 52000; N0 -97.4328; PL -139.664 -> no-fading: 4.30084e-15[-113.664; S=13.7683; P=0.62561]; fading: 5.15752e-15[-112.876; S=14.5572; P=0.651906]
Dist 53000; N0 -97.4328; PL -139.837 -> no-fading: 4.13298e-15[-113.837; S=13.5954; P=0.619847]; fading: 4.85987e-15[-113.134; S=14.299; P=0.6433]
Dist 54000; N0 -97.4328; PL -140.007 -> no-fading: 3.97463e-15[-114.007; S=13.4257; P=0.614191]; fading: 4.74271e-15[-113.24; S=14.193; P=0.639768]
Dist 55000; N0 -97.4328; PL -140.174 -> no-fading: 3.82509e-15[-114.174; S=13.2592; P=0.608639]; fading: 4.55348e-15[-113.417; S=14.0162; P=0.633873]
Dist 56000; N0 -97.4328; PL -140.337 -> no-fading: 3.68372e-15[-114.337; S=13.0956; P=0.603188]; fading: 4.37006e-15[-113.595; S=13.8376; P=0.627921]
Dist 57000; N0 -97.4328; PL -140.498 -> no-fading: 3.54994e-15[-114.498; S=12.935; P=0.597833]; fading: 4.26828e-15[-113.697; S=13.7353; P=0.62451]
Dist 58000; N0 -97.4328; PL -140.656 -> no-fading: 3.42323e-15[-114.656; S=12.7771; P=0.592571]; fading: 4.02989e-15[-113.947; S=13.4857; P=0.61619]
Dist 59000; N0 -97.4328; PL -140.811 -> no-fading: 3.30308e-15[-114.811; S=12.622; P=0.587399]; fading: 3.91787e-15[-114.069; S=13.3633; P=0.612109]
Dist 60000; N0 -97.4328; PL -140.963 -> no-fading: 3.18907e-15[-114.963; S=12.4694; P=0.582313]; fading: 3.75692e-15[-114.252; S=13.1811; P=0.606036]
Dist 61000; N0 -97.4328; PL -141.113 -> no-fading: 3.08078e-15[-115.113; S=12.3194; P=0.577312]; fading: 3.61547e-15[-114.418; S=13.0144; P=0.60048]
Dist 62000; N0 -97.4328; PL -141.261 -> no-fading: 2.97784e-15[-115.261; S=12.1718; P=0.572393]; fading: 3.51265e-15[-114.544; S=12.8891; P=0.596304]
Dist 63000; N0 -97.4328; PL -141.406 -> no-fading: 2.87991e-15[-115.406; S=12.0265; P=0.567552]; fading: 3.3688e-15[-114.725; S=12.7075; P=0.59025]
Dist 64000; N0 -97.4328; PL -141.549 -> no-fading: 2.78666e-15[-115.549; S=11.8836; P=0.562787]; fading: 3.30291e-15[-114.811; S=12.6217; P=0.587391]
Dist 65000; N0 -97.4328; PL -141.69 -> no-fading: 2.69781e-15[-115.69; S=11.7429; P=0.558096]; fading: 3.23103e-15[-114.907; S=12.5262; P=0.584206]
Dist 66000; N0 -97.4328; PL -141.828 -> no-fading: 2.61308e-15[-115.828; S=11.6043; P=0.553476]; fading: 3.09608e-15[-115.092; S=12.3409; P=0.578029]
Dist 67000; N0 -97.4328; PL -141.965 -> no-fading: 2.53223e-15[-115.965; S=11.4678; P=0.548927]; fading: 2.98959e-15[-115.244; S=12.1889; P=0.572962]
Dist 68000; N0 -97.4328; PL -142.099 -> no-fading: 2.45503e-15[-116.099; S=11.3333; P=0.544444]; fading: 2.93137e-15[-115.329; S=12.1035; P=0.570116]
Dist 69000; N0 -97.4328; PL -142.232 -> no-fading: 2.38125e-15[-116.232; S=11.2008; P=0.540027]; fading: 2.83528e-15[-115.474; S=11.9587; P=0.565291]
Dist 70000; N0 -97.4328; PL -142.363 -> no-fading: 2.31071e-15[-116.363; S=11.0702; P=0.535674]; fading: 2.76262e-15[-115.587; S=11.846; P=0.561532]
Dist 71000; N0 -97.4328; PL -142.491 -> no-fading: 2.24321e-15[-116.491; S=10.9415; P=0.531382]; fading: 2.67666e-15[-115.724; S=11.7087; P=0.556957]
Dist 72000; N0 -97.4328; PL -142.618 -> no-fading: 2.17859e-15[-116.618; S=10.8145; P=0.52715]; fading: 2.5913e-15[-115.865; S=11.5679; P=0.552264]
Dist 73000; N0 -97.4328; PL -142.743 -> no-fading: 2.11668e-15[-116.743; S=10.6893; P=0.522977]; fading: 2.52058e-15[-115.985; S=11.4478; P=0.548259]
Dist 74000; N0 -97.4328; PL -142.867 -> no-fading: 2.05734e-15[-116.867; S=10.5658; P=0.518861]; fading: 2.44797e-15[-116.112; S=11.3208; P=0.544027]
Dist 75000; N0 -97.4328; PL -142.989 -> no-fading: 2.00042e-15[-116.989; S=10.444; P=0.514799]; fading: 2.41044e-15[-116.179; S=11.2537; P=0.541791]
Dist 76000; N0 -97.4328; PL -143.109 -> no-fading: 1.94581e-15[-117.109; S=10.3238; P=0.510792]; fading: 2.28473e-15[-116.412; S=11.0211; P=0.534037]
Dist 77000; N0 -97.4328; PL -143.228 -> no-fading: 1.89337e-15[-117.228; S=10.2051; P=0.506837]; fading: 2.23403e-15[-116.509; S=10.9237; P=0.530788]
